cd_postal,cd_commune_nis,tx_postal_name_fr,tx_postal_name_nl
6140,52022,Fontaine-l’Evêque,Fontaine-l’Evêque
6141,52022,Fontaine-l’Evêque,Fontaine-l’Evêque
6142,52022,Fontaine-l’Evêque,Fontaine-l’Evêque
6150,56001,Anderlues,Anderlues
6180,52015,Courcelles,Courcelles
6181,52015,Courcelles,Courcelles
6182,52015,Courcelles,Courcelles
6183,52015,Courcelles,Courcelles
6200,52012,Châtelet,Châtelet
6210,52075,Les Bons Villers,Les Bons Villers
6211,52075,Les Bons Villers,Les Bons Villers
6220,52021,Fleurus,Fleurus
6221,52021,Fleurus,Fleurus
6222,52021,Fleurus,Fleurus
6223,52021,Fleurus,Fleurus
6224,52021,Fleurus,Fleurus
6230,52055,Pont-à-Celles,Pont-à-Celles
6238,52055,Pont-à-Celles,Pont-à-Celles
6240,52018,Farciennes,Farciennes
6250,52074,Aiseau-Presles,Aiseau-Presles
6280,52025,Gerpinnes,Gerpinnes
6440,56029,Froidchapelle,Froidchapelle
6441,56029,Froidchapelle,Froidchapelle
6460,56016,Chimay,Chimay
6461,56016,Chimay,Chimay
6462,56016,Chimay,Chimay
6463,56016,Chimay,Chimay
6464,56016,Chimay,Chimay
6470,56088,Sivry-Rance,Sivry-Rance
6500,56005,Beaumont,Beaumont
6511,56005,Beaumont,Beaumont
6530,56078,Thuin,Thuin
6531,56078,Thuin,Thuin
6532,56078,Thuin,Thuin
6533,56078,Thuin,Thuin
6534,56078,Thuin,Thuin
6536,56078,Thuin,Thuin
6540,56044,Lobbes,Lobbes
6542,56044,Lobbes,Lobbes
6543,56044,Lobbes,Lobbes
6560,56022,Erquelinnes,Erquelinnes
6567,56049,Merbes-le-Château,Merbes-le-Château
6590,56051,Momignies,Momignies
6591,56051,Momignies,Momignies
6592,56051,Momignies,Momignies
6593,56051,Momignies,Momignies
6594,56051,Momignies,Momignies
6596,56051,Momignies,Momignies
6600,82039,Bastogne,Bastenaken
6630,81013,Martelange,Martelange
6637,82009,Fauvillers,Fauvillers
6640,82036,Vaux-sur-Sûre,Vaux-sur-Sûre
6642,82036,Vaux-sur-Sûre,Vaux-sur-Sûre
6660,82014,Houffalize,Houffalize
6661,82014,Houffalize,Houffalize
6662,82014,Houffalize,Houffalize
6663,82014,Houffalize,Houffalize
6666,82014,Houffalize,Houffalize
6670,82037,Gouvy,Gouvy
6671,82037,Gouvy,Gouvy
6672,82037,Gouvy,Gouvy
6673,82037,Gouvy,Gouvy
6674,82037,Gouvy,Gouvy
6680,82038,Sainte-Ode,Sainte-Ode
6681,82038,Sainte-Ode,Sainte-Ode
6686,82039,Bastogne,Bastenaken
6687,82039,Bastogne,Bastenaken
6688,82039,Bastogne,Bastenaken
6690,82032,Vielsalm,Vielsalm
6692,82032,Vielsalm,Vielsalm
6698,82032,Vielsalm,Vielsalm
6700,81001,Arlon,Aarlen
6704,81001,Arlon,Aarlen
6706,81001,Arlon,Aarlen
6717,81003,Attert,Attert
6720,85046,Habay,Habay
6721,85046,Habay,Habay
6723,85046,Habay,Habay
6724,85046,Habay,Habay
6730,85039,Tintigny,Tintigny
6740,85009,Etalle,Etalle
6741,85009,Etalle,Etalle
6742,85009,Etalle,Etalle
6743,85009,Etalle,Etalle
6747,85034,Saint-Léger,Saint-Léger
6750,85026,Musson,Musson
6760,85045,Virton,Virton
